,county
0,1007
1,1067
2,1077
3,1095
4,1099
5,1107
6,1111
7,1123
8,4005
9,4011
10,4013
11,4017
12,4025
13,5003
14,5005
15,5019
16,5039
17,5055
18,5069
19,5105
20,5137
21,5147
22,6003
23,6005
24,6009
25,6011
26,6013
27,6017
28,6019
29,6021
30,6023
31,6027
32,6029
33,6033
34,6037
35,6039
36,6041
37,6043
38,6045
39,6047
40,6051
41,6053
42,6059
43,6065
44,6067
45,6073
46,6077
47,6079
48,6083
49,6085
50,6089
51,6091
52,6093
53,6097
54,6099
55,6101
56,6103
57,6107
58,6111
59,6115
60,8003
61,8007
62,8013
63,8014
64,8017
65,8033
66,8037
67,8043
68,8049
69,8051
70,8059
71,8065
72,8067
73,8077
74,8079
75,8083
76,8085
77,8093
78,8109
79,8111
80,8119
81,9001
82,9011
83,10005
84,12029
85,12043
86,12089
87,12119
88,13009
89,13017
90,13035
91,13063
92,13071
93,13109
94,13111
95,13161
96,13167
97,13197
98,13201
99,13249
100,13299
101,13305
102,13315
103,16007
104,16013
105,16019
106,16023
107,16031
108,16033
109,16037
110,16047
111,16051
112,16053
113,16059
114,16063
115,16067
116,16081
117,16087
118,17001
119,17037
120,17069
121,17115
122,17123
123,17135
124,17141
125,17151
126,18015
127,18041
128,18063
129,18069
130,18091
131,18113
132,19009
133,19051
134,19059
135,19067
136,19099
137,19127
138,19137
139,19141
140,19143
141,19149
142,19173
143,20051
144,20053
145,20085
146,20105
147,20123
148,20151
149,20157
150,20209
151,21005
152,21095
153,21119
154,21143
155,21195
156,21197
157,21201
158,21213
159,22009
160,22035
161,23009
162,23011
163,23015
164,24017
165,24019
166,24027
167,24033
168,24037
169,24043
170,26019
171,26031
172,26033
173,26035
174,26043
175,26057
176,26067
177,26075
178,26085
179,26089
180,26125
181,26137
182,26151
183,27009
184,27023
185,27027
186,27029
187,27045
188,27055
189,27087
190,27091
191,27095
192,27111
193,27113
194,27133
195,27141
196,28003
197,28033
198,28043
199,28065
200,28121
201,28127
202,28151
203,28159
204,29089
205,29097
206,29113
207,29127
208,29147
209,29165
210,29186
211,29203
212,30031
213,30047
214,30049
215,30053
216,30057
217,30081
218,30097
219,30099
220,30105
221,31003
222,31019
223,31029
224,31041
225,31047
226,31075
227,31081
228,31083
229,31087
230,31091
231,31097
232,31105
233,31115
234,31123
235,31127
236,31131
237,31151
238,31161
239,32001
240,32003
241,32005
242,32007
243,32009
244,32013
245,32017
246,32023
247,32027
248,32029
249,32033
250,32510
251,33005
252,33007
253,33019
254,34011
255,34019
256,34025
257,34033
258,34039
259,34041
260,35001
261,35003
262,35023
263,35027
264,35028
265,35031
266,35033
267,35039
268,35043
269,35049
270,35051
271,35053
272,35057
273,35061
274,36019
275,36021
276,36043
277,36047
278,36065
279,36075
280,36079
281,36103
282,36105
283,36111
284,36113
285,36123
286,37001
287,37023
288,37069
289,37101
290,37113
291,37117
292,37125
293,37129
294,37135
295,37137
296,37191
297,38021
298,38031
299,38033
300,38035
301,38055
302,38081
303,39027
304,39059
305,39083
306,39091
307,39123
308,39147
309,39159
310,39165
311,40011
312,40033
313,40075
314,40107
315,41009
316,41013
317,41015
318,41017
319,41019
320,41027
321,41029
322,41037
323,41045
324,41047
325,41049
326,41051
327,41055
328,41059
329,41061
330,41063
331,41065
332,41067
333,41069
334,41071
335,42001
336,42005
337,42009
338,42011
339,42039
340,42045
341,42063
342,42075
343,42087
344,42093
345,42095
346,42105
347,42109
348,44009
349,45001
350,45019
351,45021
352,45023
353,45033
354,45061
355,46007
356,46013
357,46027
358,46035
359,46047
360,46075
361,46101
362,46107
363,46123
364,47009
365,47015
366,47031
367,47073
368,47093
369,47127
370,47131
371,47179
372,48025
373,48031
374,48043
375,48055
376,48083
377,48109
378,48175
379,48243
380,48251
381,48253
382,48281
383,48289
384,48341
385,48353
386,48359
387,48409
388,48413
389,48419
390,48431
391,49001
392,49003
393,49005
394,49015
395,49021
396,49029
397,49031
398,49033
399,49045
400,49057
401,50007
402,50015
403,50025
404,51009
405,51041
406,51139
407,51159
408,51177
409,51183
410,53001
411,53003
412,53007
413,53013
414,53015
415,53017
416,53019
417,53021
418,53033
419,53037
420,53049
421,53053
422,53061
423,53063
424,53073
425,54013
426,54029
427,54055
428,54077
429,55009
430,55027
431,55031
432,55037
433,55075
434,55079
435,55085
436,55087
437,55095
438,55099
439,55103
440,55115
441,55131
442,56003
443,56007
444,56009
445,56017
446,56021
447,56031
448,56037
449,56043
