Week,D0-D4,D1-D4,D2-D4,D3-D4,D4,DSCI
2011-01-04,0,0,0,0,0,0
2011-01-11,0,0,0,0,0,0
2011-01-18,0,0,0,0,0,0
2011-01-25,0,0,0,0,0,0
2011-02-01,0,0,0,0,0,0
2011-02-08,0,0,0,0,0,0
2011-02-15,0,0,0,0,0,0
2011-02-22,0,0,0,0,0,0
2011-03-01,0,0,0,0,0,0
2011-03-08,0,0,0,0,0,0
2011-03-15,0,0,0,0,0,0
2011-03-22,0,0,0,0,0,0
2011-03-29,0,0,0,0,0,0
2011-04-05,0,0,0,0,0,0
2011-04-12,0,0,0,0,0,0
2011-04-19,0,0,0,0,0,0
2011-04-26,0,0,0,0,0,0
2011-05-03,0,0,0,0,0,0
2011-05-10,0,0,0,0,0,0
2011-05-17,0,0,0,0,0,0
2011-05-24,0,0,0,0,0,0
2011-05-31,0,0,0,0,0,0
2011-06-07,0,0,0,0,0,0
2011-06-14,0,0,0,0,0,0
2011-06-21,0,0,0,0,0,0
2011-06-28,0,0,0,0,0,0
2011-07-05,0,0,0,0,0,0
2011-07-12,0,0,0,0,0,0
2011-07-19,0,0,0,0,0,0
2011-07-26,0,0,0,0,0,0
2011-08-02,0,0,0,0,0,0
2011-08-09,0,0,0,0,0,0
2011-08-16,0,0,0,0,0,0
2011-08-23,0,0,0,0,0,0
2011-08-30,0,0,0,0,0,0
2011-09-06,0,0,0,0,0,0
2011-09-13,0,0,0,0,0,0
2011-09-20,0,0,0,0,0,0
2011-09-27,0,0,0,0,0,0
2011-10-04,0,0,0,0,0,0
2011-10-11,0,0,0,0,0,0
2011-10-18,0,0,0,0,0,0
2011-10-25,0,0,0,0,0,0
2011-11-01,0,0,0,0,0,0
2011-11-08,0,0,0,0,0,0
2011-11-15,0,0,0,0,0,0
2011-11-22,0,0,0,0,0,0
2011-11-29,0,0,0,0,0,0
2011-12-06,0,0,0,0,0,0
2011-12-13,0,0,0,0,0,0
2011-12-20,0,0,0,0,0,0
2011-12-27,0,0,0,0,0,0
2012-01-03,0,0,0,0,0,0
2012-01-10,0,0,0,0,0,0
2012-01-17,0,0,0,0,0,0
2012-01-24,0,0,0,0,0,0
2012-01-31,0,0,0,0,0,0
2012-02-07,0,0,0,0,0,0
2012-02-14,0,0,0,0,0,0
